genes,Description
Nbe.v1.s00010g00010,-
Nbe.v1.s00010g00020,Nucleoporin autopeptidase
Nbe.v1.s00010g00030,Ribonuclease H protein
Nbe.v1.s00010g00040,Heavy metal-associated isoprenylated plant protein
Nbe.v1.s00010g00050,-
Nbe.v1.s00010g00070,Galactosyltransferase
Nbe.v1.s00010g00080,Ring finger domain
Nbe.v1.s00010g00090,Soluble inorganic
Nbe.v1.s00010g00110,B3 DNA binding domain
Nbe.v1.s00010g00120,Galactosyltransferase
Nbe.v1.s00010g00130,START domain
Nbe.v1.s00010g00150,-
Nbe.v1.s00010g00160,BTB POZ domain-containing protein POB1-like
Nbe.v1.s00010g00170,Protein of unknown function (DUF1191)
Nbe.v1.s00010g00180,ABC transporter C family member 10-like
Nbe.v1.s00010g00190,Translation initiation factor
Nbe.v1.s00010g00200,ATP synthase (E/31 kDa) subunit
Nbe.v1.s00010g00210,Belongs to the glycosyltransferase 31 family
Nbe.v1.s00010g00220,Belongs to the glucose-6-phosphate 1-epimerase family
Nbe.v1.s00010g00230,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g00240,Belongs to the ubiquitin-conjugating enzyme family
Nbe.v1.s00010g00280,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00010g00290,Protein of unknown function (DUF1221)
Nbe.v1.s00010g00300,Protein of unknown function (DUF1221)
Nbe.v1.s00010g00320,"WD domain, G-beta repeat"
Nbe.v1.s00010g00330,KIP1-like protein
Nbe.v1.s00010g00340,Mitochondrial carrier protein
Nbe.v1.s00010g00360,lysine histidine transporter
Nbe.v1.s00010g00400,Probable zinc-ribbon domain
Nbe.v1.s00010g00420,Ribonuclease H protein
Nbe.v1.s00010g00430,UBX domain-containing protein
Nbe.v1.s00010g00440,UBX domain-containing protein
Nbe.v1.s00010g00450,PMR5 N terminal Domain
Nbe.v1.s00010g00460,high mobility group
Nbe.v1.s00010g00470,Transporter
Nbe.v1.s00010g00480,-
Nbe.v1.s00010g00490,Belongs to the WD repeat SEC13 family
Nbe.v1.s00010g00500,WRKY transcription
Nbe.v1.s00010g00520,-
Nbe.v1.s00010g00530,-
Nbe.v1.s00010g00540,Alpha/beta hydrolase family
Nbe.v1.s00010g00550,Peptidase inhibitor I9
Nbe.v1.s00010g00560,-
Nbe.v1.s00010g00570,Pectate lyase superfamily protein
Nbe.v1.s00010g00580,Polyketide cyclase / dehydrase and lipid transport
Nbe.v1.s00010g00590,-
Nbe.v1.s00010g00600,Serine threonine-protein phosphatase 7 long form homolog
Nbe.v1.s00010g00610,-
Nbe.v1.s00010g00620,primase small subunit
Nbe.v1.s00010g00630,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00010g00650,-
Nbe.v1.s00010g00660,-
